t_seconds,0x0000,0x0001,0x0002,0x0003,0x0004,0x0005,0x0006,0x0007,0x0008,0x0009,0x000A,0x000B,0x000C,0x000D,0x000E,0x000F,0x0010,0x0011,0x0012,0x0013,0x0014,0x0015,0x0016,0x0017,0x0018,0x0019,0x001A,0x001B,0x001C,0x001D,0x001E,0x001F,0x0020,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0027,0x0028,0x0029,0x002A,0x002B,0x002C,0x002D,0x002E,0x002F,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050,0x0051,0x0052,0x0053,0x0054,0x0055,0x0056,0x0057,0x0058,0x0059,0x005A,0x005B,0x005C,0x005D,0x005E,0x005F,0x0060,0x0061,0x0062,0x0063,0x0064,0x0065,0x0066,0x0067,0x0068,0x0069,0x006A,0x006B,0x006C,0x006D,0x006E,0x006F,0x0070,0x0071,0x0072,0x0073,0x0074,0x0075,0x0076,0x0077,0x0078,0x0079,0x007A,0x007B,0x007C
3.1421,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5669,401,27,40,2034,18,16,30,0,0,0,0,0,0,2367,0,0,0,0,0,0,1648,2823,13,0,13,221,22,692,-60,0,0,0,1369,2718,19,0,20,0,27,410,0,0,0,0,1014,0,993,0,993,0,1008,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4260,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5669,691,28,40,2034,18,16,29,0,0,0,0,0,0,2342,0,0,0,0,0,0,1623,2667,13,0,14,235,23,687,-48,0,0,0,1394,2440,19,0,21,0,29,413,0,0,0,0,1013,0,993,0,993,0,1007,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7098,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5669,971,27,40,2034,15,14,21,0,0,0,0,0,0,2392,0,0,0,0,0,0,1504,2872,13,0,13,186,20,577,-1,0,0,0,1332,2918,19,0,20,0,27,393,0,0,0,0,1009,0,993,0,993,0,1002,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.9954,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5925,251,27,40,2034,24,14,65,0,0,0,0,0,0,2367,0,0,0,0,0,0,1735,5374,13,0,14,254,24,996,421,0,0,0,1334,2895,19,0,20,0,27,371,0,0,0,0,1026,0,993,0,993,0,1020,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2806,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5925,536,27,40,2034,15,13,23,0,0,0,0,0,0,2367,0,0,0,0,0,0,1509,3383,13,0,13,175,20,610,62,0,0,0,1316,2590,19,0,20,0,26,348,0,0,0,0,1010,0,993,0,993,0,1003,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5659,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,5925,821,27,40,2034,15,15,30,0,0,0,0,0,0,2342,0,0,0,0,0,0,1515,3017,13,0,13,175,21,566,-98,0,0,0,1361,3059,19,0,20,0,27,401,0,0,0,0,1013,0,993,0,993,0,1007,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8501,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6181,106,27,40,2034,19,15,44,300,0,0,0,0,0,2361,215,0,0,0,0,22,1660,3148,13,0,13,223,22,816,25,0,0,0,1370,3067,19,0,20,0,27,420,0,0,0,0,1021,0,993,0,993,0,1014,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1374,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6181,391,27,40,2034,15,14,23,0,0,0,0,0,0,2386,0,0,0,0,0,0,1489,2831,13,0,13,183,20,595,84,0,0,0,1361,2973,19,0,20,0,27,388,0,0,0,0,1011,0,993,0,993,0,1004,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.4226,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6181,681,27,40,2034,19,16,37,0,0,0,0,0,0,2361,0,0,0,0,0,0,1682,2624,13,0,14,230,23,761,66,0,0,0,1437,2867,19,0,20,0,28,454,0,0,0,0,1013,0,993,0,992,0,1006,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.7069,0,0,14371,6,2,4,0,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,255,0,7,50,1,0,1,-32490,-30216,794,1049,6181,966,27,40,2034,17,15,28,0,0,0,0,0,0,2354,0,0,0,0,0,0,1591,3255,13,0,13,193,22,725,0,0,0,0,1359,2634,19,0,20,0,27,413,0,0,0,0,1013,0,993,0,993,0,1006,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
