t_seconds,0x0030,0x0031,0x0032,0x0033,0x0034,0x0035,0x0036,0x0037,0x0038,0x0039,0x003A,0x003B,0x003C,0x003D,0x003E,0x003F,0x0040,0x0041,0x0042,0x0043,0x0044,0x0045,0x0046,0x0047,0x0048,0x0049,0x004A,0x004B,0x004C,0x004D,0x004E,0x004F,0x0050
3.1702,794,3096,2081,566,13,2049,11,11,13,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1865,2875,6,0,6,294,12,993,-27,0
3.2624,794,3096,2081,656,13,2049,11,12,12,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,2010,2979,6,0,6,303,13,1125,66,0
3.3559,794,3096,2081,751,13,2049,11,12,12,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1913,2943,6,0,6,290,13,1006,-38,0
3.4506,794,3096,2081,841,13,2049,11,12,12,12,0,0,0,0,0,0,2424,0,0,0,0,0,0,1872,2900,6,0,6,302,12,1041,-55,0
3.5460,794,3096,2081,936,13,2049,11,12,12,13,0,0,0,0,0,0,2436,0,0,0,0,0,0,1824,2849,6,0,6,298,12,982,-18,0
3.6387,794,3096,2337,31,13,2049,11,12,12,13,0,0,0,0,0,0,2430,0,0,0,0,0,0,1824,2849,6,0,6,298,12,982,-18,0
3.7312,794,3096,2337,126,13,2049,11,12,12,13,0,0,0,0,0,0,2424,0,0,0,0,0,0,1784,2893,6,0,6,286,11,991,-84,0
3.8239,794,3096,2337,216,13,2049,11,12,12,13,0,0,0,0,0,0,2468,0,0,0,0,0,0,1746,2911,6,0,6,292,11,1069,-176,0
3.9167,794,3096,2337,306,13,2049,11,12,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1802,2838,6,0,6,303,12,1009,-52,0
4.0092,794,3096,2337,401,13,2049,11,13,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1923,2916,6,0,6,310,12,1076,22,0
4.1022,794,3096,2337,491,13,2049,11,13,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1942,2943,6,0,6,307,13,1063,-73,0
4.1949,794,3096,2337,586,13,2049,11,12,11,11,0,0,0,0,0,0,2417,0,0,0,0,0,0,1862,2985,6,0,6,295,12,958,24,0
4.2874,794,3096,2337,681,13,2049,11,12,11,12,0,0,0,0,0,0,2430,0,0,0,0,0,0,1892,3005,6,0,6,291,13,979,12,0
4.3803,794,3096,2337,771,13,2049,11,12,12,11,0,0,0,0,0,0,2443,0,0,0,0,0,0,1828,3046,6,0,6,283,12,1026,52,0
4.4742,794,3096,2337,866,13,2049,11,13,12,11,0,0,0,0,0,0,2436,0,0,0,0,0,0,1977,3173,6,0,6,299,13,1128,95,0
4.5671,794,3096,2337,956,13,2049,11,13,12,12,0,0,0,0,0,0,2417,0,0,0,0,0,0,1977,3054,6,0,6,298,13,1095,81,0
